VariableCode,RegionCode,YearCode,AggValue
emp,BEN,1990,1.85095834732056000
hc,BEN,1990,1.33014023303986000
rgdpna,BEN,1990,6125.80859375000000000
rkna,BEN,1990,17045.12304687500000000
rtfpna,BEN,1990,0.91754591464996300
emp,BEN,1991,1.91734886169434000
hc,BEN,1991,1.34717512130737000
rgdpna,BEN,1991,6383.81201171875000000
rkna,BEN,1991,17371.27148437500000000
rtfpna,BEN,1991,0.92072051763534500
emp,BEN,1992,1.99678409099579000
hc,BEN,1992,1.36442828178406000
rgdpna,BEN,1992,6573.17236328125000000
rkna,BEN,1992,17726.08984375000000000
rtfpna,BEN,1992,0.90929055213928200
emp,BEN,1993,2.07783889770508000
hc,BEN,1993,1.38190221786499000
rgdpna,BEN,1993,6956.62744140625000000
rkna,BEN,1993,18128.81835937500000000
rtfpna,BEN,1993,0.92276602983474700
emp,BEN,1994,2.15829491615295000
hc,BEN,1994,1.39960014820099000
rgdpna,BEN,1994,7097.46386718750000000
rkna,BEN,1994,18469.12500000000000000
rtfpna,BEN,1994,0.90501880645752000
emp,BEN,1995,2.23482513427734000
hc,BEN,1995,1.41752457618713000
rgdpna,BEN,1995,7816.56591796875000000
rkna,BEN,1995,18933.89453125000000000
rtfpna,BEN,1995,0.95843380689621000
emp,BEN,1996,2.30268335342407000
hc,BEN,1996,1.43683838844299000
rgdpna,BEN,1996,8155.20214843750000000
rkna,BEN,1996,19360.52343750000000000
rtfpna,BEN,1996,0.96544450521469100
emp,BEN,1997,2.36318802833557000
hc,BEN,1997,1.45641529560089000
rgdpna,BEN,1997,8622.87304687500000000
rkna,BEN,1997,19838.68554687500000000
rtfpna,BEN,1997,0.98716616630554200
emp,BEN,1998,2.42310261726379000
hc,BEN,1998,1.47625899314880000
rgdpna,BEN,1998,8964.42578125000000000
rkna,BEN,1998,20324.71679687500000000
rtfpna,BEN,1998,0.99298089742660500
emp,BEN,1999,2.48773312568665000
hc,BEN,1999,1.49637317657471000
rgdpna,BEN,1999,9443.25585937500000000
rkna,BEN,1999,20861.28710937500000000
rtfpna,BEN,1999,1.01049280166626000
emp,BEN,2000,2.56081390380859000
hc,BEN,2000,1.51676130294800000
rgdpna,BEN,2000,9902.35644531250000000
rkna,BEN,2000,21468.07617187500000000
rtfpna,BEN,2000,1.02092862129211000
emp,BEN,2001,2.63985681533813000
hc,BEN,2001,1.53885138034821000
rgdpna,BEN,2001,10521.09570312500000000
rkna,BEN,2001,22160.13281250000000000
rtfpna,BEN,2001,1.04236340522766000
emp,BEN,2002,2.72683620452881000
hc,BEN,2002,1.56126332283020000
rgdpna,BEN,2002,10986.24609375000000000
rkna,BEN,2002,22942.45898437500000000
rtfpna,BEN,2002,1.04345762729645000
emp,BEN,2003,2.83150076866150000
hc,BEN,2003,1.58400154113770000
rgdpna,BEN,2003,11412.78710937500000000
rkna,BEN,2003,23858.17382812500000000
rtfpna,BEN,2003,1.03404474258423000
emp,BEN,2004,2.93976020812988000
hc,BEN,2004,1.60707104206085000
rgdpna,BEN,2004,11768.85058593750000000
rkna,BEN,2004,24764.87695312500000000
rtfpna,BEN,2004,1.01800036430359000
emp,BEN,2005,3.04930639266968000
hc,BEN,2005,1.63047647476196000
rgdpna,BEN,2005,12106.05566406250000000
rkna,BEN,2005,25726.66210937500000000
rtfpna,BEN,2005,1.00000000000000000
emp,BEN,2006,3.15973258018494000
hc,BEN,2006,1.66159582138062000
rgdpna,BEN,2006,12560.29394531250000000
rkna,BEN,2006,26785.93359375000000000
rtfpna,BEN,2006,0.98783963918685900
emp,BEN,2007,3.27168488502502000
hc,BEN,2007,1.69330918788910000
rgdpna,BEN,2007,13141.38281250000000000
rkna,BEN,2007,27963.54687500000000000
rtfpna,BEN,2007,0.98350054025650000
emp,BEN,2008,3.38516020774841000
hc,BEN,2008,1.72155678272247000
rgdpna,BEN,2008,13800.87890625000000000
rkna,BEN,2008,29288.90429687500000000
rtfpna,BEN,2008,0.98348540067672700
emp,BEN,2009,3.50039005279541000
hc,BEN,2009,1.74626505374908000
rgdpna,BEN,2009,14168.88085937500000000
rkna,BEN,2009,30634.19335937500000000
rtfpna,BEN,2009,0.96369332075119000
emp,BEN,2010,3.61760473251343000
hc,BEN,2010,1.77132785320282000
rgdpna,BEN,2010,14530.58203125000000000
rkna,BEN,2010,31771.35937500000000000
rtfpna,BEN,2010,0.94662600755691500
emp,BEN,2011,3.73155617713928000
hc,BEN,2011,1.77132785320282000
rgdpna,BEN,2011,14978.57128906250000000
rkna,BEN,2011,32994.68750000000000000
rtfpna,BEN,2011,0.94356459379196200
rgdpna,BFA,1959,3513.30810546875000000
rkna,BFA,1959,3150.37207031250000000
emp,BFA,1960,2.79932498931885000
rgdpna,BFA,1960,3528.60620117188000000
rkna,BFA,1960,3117.76293945313000000
emp,BFA,1961,2.82657074928284000
rgdpna,BFA,1961,3067.12646484375000000
rkna,BFA,1961,3109.45751953125000000
emp,BFA,1962,2.85382342338562000
rgdpna,BFA,1962,3213.35156250000000000
rkna,BFA,1962,3114.69360351563000000
emp,BFA,1963,2.88116645812988000
rgdpna,BFA,1963,3152.84936523438000000
rkna,BFA,1963,3114.46093750000000000
emp,BFA,1964,2.90880012512207000
rgdpna,BFA,1964,3208.69995117188000000
rkna,BFA,1964,3118.82617187500000000
hc,BDI,1960,1.09179019927979000
rgdpna,BDI,1960,1502.54345703125000000
rkna,BDI,1960,2635.42065429688000000
hc,BDI,1961,1.09615170955658000
rgdpna,BDI,1961,1288.34338378906000000
rkna,BDI,1961,2610.19921875000000000
hc,BDI,1962,1.10053062438965000
rgdpna,BDI,1962,1397.37963867188000000
rkna,BDI,1962,2600.70751953125000000
hc,BDI,1963,1.10492706298828000
rgdpna,BDI,1963,1480.56103515625000000
rkna,BDI,1963,2581.72924804688000000
hc,BDI,1964,1.10934102535248000
rgdpna,BDI,1964,1577.27770996094000000
rkna,BDI,1964,2562.27075195313000000
hc,BDI,1965,1.11377263069153000
rgdpna,BDI,1965,1654.37805175781000000
