New Case? ,Case,Country / Case,Code,Date,Debt Restructured   (m US$),Preferred Haircut HSZ,Underlying Discount             Rate ,Market Haircut        HM,Face Value Reduction (in %) ,Bond Exchange,Reduct. in Face Value,Buy Back Deal,Brady Deal,Donor Funded ,All Fallen Due,Affects PRD,New Money Incl.,Short-Term Debt Incl.,Data Quality Index
,1,Albania,ALB,1995-08-01,501,0.804,0.159,0.804,0.547984,0,1,0,0,1,1,0,0,0,2
,2,Algeria,DZA,1992-03-01,1457,0.087,0.122,0.133,0,0,0,0,0,0,0,0,0,0,3
,3,Algeria,DZA,1996-07-01,3200,0.235,0.126,0.25,0,0,0,0,0,0,0,1,0,0,2
,4,Argentina,ARG,1985-08-01,9900,0.303,0.195,0.303,0,0,0,0,0,0,1,0,1,1,2
,5,Argentina,ARG,1987-08-01,29515,0.217,0.147,0.217,0,0,0,0,0,0,1,0,1,1,3
,6,Argentina,ARG,1993-04-01,28476,0.325,0.112,0.418,0.0954137,0,1,0,1,0,0,1,0,0,3
,7,Argentina (Global),ARG,2005-06-01,60572,0.768,0.104,0.788,0.2943269,1,1,0,0,0,0,1,0,0,5
,8,Belize,BLZ,2007-02-01,516.06334,0.237,0.096,0.291,0,1,0,0,0,0,0,0,0,0,5
yes,9,Belize ,BLZ,2013-02-01,586.3,0.315,0.0813,0.2439,0.1,1,1,0,0,0,0,1,0,0,5
,10,Bolivia,BOL,1988-03-01,473,0.927,none (buy back),0.927,0.8598943,0,1,1,0,0,1,0,0,0,2
,11,Bolivia,BOL,1993-04-01,171,0.765,0.141,0.765,0.6778947,0,1,1,0,1,1,0,0,0,3
,12,Bosnia and Herzegovina,BIH,1997-12-01,1300,0.896,0.131,0.905,0.6923077,0,1,1,0,0,0,1,0,0,4
,13,Brazil,BRA,1983-02-01,4452,-0.098,0.093,-0.098,0,0,0,0,0,0,1,0,1,0,2
,14,Brazil,BRA,1984-01-01,4846,0.017,0.141,0.035,0,0,0,0,0,0,0,0,1,0,2
,15,Brazil,BRA,1986-09-01,6671,0.192,0.128,0.192,0,0,0,0,0,0,1,0,0,0,2
,16,Brazil,BRA,1988-11-01,62100,0.184,0.142,0.228,0,0,0,0,0,0,0,0,1,0,2
,17,Brazil,BRA,1992-11-01,9166.5,0.27,0.133,0.27,0,0,0,0,0,0,1,0,0,0,4
,18,Brazil,BRA,1994-04-01,43257,0.293,0.118,0.389,0.0910176,0,1,0,1,0,0,1,0,0,3
,19,Bulgaria,BGR,1994-06-01,7910,0.563,0.129,0.563,0.3112521,0,1,0,1,0,1,0,0,0,3
,20,Cameroon,CMR,2003-08-01,796,0.855,none (buy back),0.855,0.855,0,1,1,0,1,1,0,0,0,3
,21,Chile,CHL,1983-11-01,2169,0.007,0.137,0.008,0,0,0,0,0,0,0,0,1,1,2
,22,Chile,CHL,1984-01-01,1160,0.084,0.156,0.084,0,0,0,0,0,0,1,0,0,0.5,3
,23,Chile,CHL,1986-04-01,6007,0.317,0.164,0.346,0,0,0,0,0,0,0,1,1,0,3
,24,Chile,CHL,1987-06-01,5901,0.143,0.143,0.212,0,0,0,0,0,0,0,1,0,0,3
,25,Chile,CHL,1990-12-01,6494,0.17,0.159,0.316,0,0,0,0,0,0,0,1,1,0,3
,26,"Congo, Dem. Rep. (Zaire)",COD,1980-04-01,402,0.296,0.275,0.296,0,0,0,0,0,0,1,0,0,0,3
,27,"Congo, Dem. Rep. (Zaire)",COD,1983-01-01,58,0.382,0.368,0.49,0,0,0,0,0,0,0,0,0,0,3
,28,"Congo, Dem. Rep. (Zaire)",COD,1984-06-01,64,0.301,0.341,0.368,0,0,0,0,0,0,0,0,0,0,3
,29,"Congo, Dem. Rep. (Zaire)",COD,1985-05-01,61,0.37,0.34,0.477,0,0,0,0,0,0,0,0,0,0,3
,30,"Congo, Dem. Rep. (Zaire)",COD,1986-05-01,65,0.354,0.294,0.452,0,0,0,0,0,0,0,0,0,0,3
,31,"Congo, Dem. Rep. (Zaire)",COD,1987-05-01,61,0.268,0.236,0.346,0,0,0,0,0,0,0,0,0,0,3
,32,"Congo, Dem. Rep. (Zaire)",COD,1989-06-01,61,0.506,0.281,0.702,0,0,0,0,0,0,0,1,0,0,3
yes,33,"Congo, Rep.",COG,1988-02-01,217,0.422583974,0.2186271,0.422583974,0,0,0,0,0,0,1,0,1,0,2
,34,"Congo, Rep.",COG,2007-12-01,2100,0.908,0.118,0.908,0.7619048,0,1,0,0,1,1,0,0,0,2
,35,Costa Rica,CRI,1983-09-01,609,0.394,0.292,0.416,0,0,0,0,0,0,0,0,0,0,2
,36,Costa Rica,CRI,1985-05-01,440,0.356,0.254,0.43,0,0,0,0,0,0,0,0,0,0,2
,37,Costa Rica,CRI,1990-05-01,1384,0.719,0.252,0.741,0.4703757,0,1,0,1,0,0,1,0,0,4
,38,Cote d'Ivoire,CIV,1998-03-01,6461.8,0.628,0.111,0.649,0.6020675,0,1,0,1,1,0,1,0,0,4
,39,Cote d'Ivoire,CIV,2010-04-01,2940,0.552,0.099,0.523,0.2,1,1,0,0,0,0,1,0,0,4
yes,40,Cote d'Ivoire,CIV,2012-10-01,2710.748523,0.060977087,0.08422,0.19281129,0.037842878,1,1,0,0,0,0,1,0,0,5
,41,Croatia,HRV,1996-07-01,857.8,0.11,0.123,0.197,0,0,0,0,0,0,0,1,0,0,5
,42,Cuba,CUB,1983-12-01,130,0.429,0.317,0.429,0,0,0,0,0,0,1,0,0,0,3
,43,Cuba,CUB,1984-12-01,103,0.442,0.28,0.442,0,0,0,0,0,0,1,0,0,0,2
,44,Cuba,CUB,1985-09-01,90,0.495,0.272,0.495,0,0,0,0,0,0,1,0,0,0,2
,45,Dom. Rep.,DOM,1986-02-01,823,0.499,0.248,0.499,0,0,0,0,0,0,1,0,0,0,2
,46,Dom. Rep.,DOM,1994-08-01,1087,0.505,0.128,0.558,0.3965041,0,1,0,1,0,0,1,0,0,3
,48,Dom. Rep (Bank debt),DOM,2005-10-01,180,0.154689,0.097,0.158,0,0,0,0,0,0,0,0,0,0,2
,49,Dominica,DMA,2004-09-01,144.2,0.54,0.092,0.54,0.1499307,1,1,0,0,0,0,0,0,0,4
,50,Ecuador,ECU,1983-10-01,970,0.063,0.157,0.063,0,0,0,0,0,0,1,0,1,1,2
,51,Ecuador,ECU,1984-08-01,350,0.057,0.166,0.057,0,0,0,0,0,0,1,0,0,0,2
,52,Ecuador,ECU,1985-12-01,4224,0.154,0.17,0.267,0,0,0,0,0,0,0,0,1,0,2
,53,Ecuador,ECU,1995-02-01,7170,0.422,0.129,0.494,0.1636193,0,1,0,1,0,0,1,0,0,4
,54,Ecuador,ECU,2000-08-01,6699.541,0.383,0.173,0.598,0.3388755,1,1,0,0,0,0,1,0,0,5
,55,Ecuador,ECU,2009-06-01,3190,0.677,0.13,0.686,0.6863636,1,1,1,0,0,0,1,0,0,4
,56,Ethiopia,ETH,1996-01-01,226,0.92,0.16,0.92,0.92,0,1,1,0,1,1,0,0,0,3
,57,Gabon,GAB,1987-12-01,39,0.079,0.125,0.087,0,0,0,0,0,0,0,0,0,0,2
,58,Gabon,GAB,1994-05-01,187,0.162,0.121,0.162,0,0,0,0,0,0,1,0,0,0,3
,59,"Gambia,The",GMB,1988-02-01,19,0.493,0.268,0.493,0,0,0,0,0,0,1,0,0,0,3
yes,60,Greece *,GRC,2012-03-01,261410,0.646,0.153,0.769,0.535,1,1,0,0,0,0,0,0,0,5
,61,Grenada,GRD,2005-11-01,209.70797,0.339,0.097,0.409,0,1,0,0,0,0,0,0,0,0,4
,62,Guinea,GIN,1988-04-01,43,0.261,0.281,0.261,0,0,0,0,0,0,1,0,0,1,2
,63,Guinea,GIN,1998-12-01,130,0.87,none (buy back),0.87,0.87,0,1,1,0,1,1,0,0,0,2
,64,Guyana,GUY,1992-11-01,92.5,0.892,none (buy back),0.892,0.8918378,0,1,1,0,1,1,0,0,0,3
,65,Guyana,GUY,1999-12-01,55.9,0.91,none (buy back),0.91,0.91,0,1,1,0,1,1,0,0,0,3
,66,Honduras,HND,1989-10-01,132,0.732,0.269,0.732,0,0,0,0,0,0,1,0,0,0,3
,67,Honduras,HND,2001-08-01,13,0.82,none (buy back),0.82,0.82,0,1,1,0,1,1,0,0,0,3
,68,Iraq,IRQ,2006-01-01,17710,0.894,0.123,0.894,0.815415,0,1,1,0,0,1,0,0,0,4
,69,Jamaica,JAM,1978-09-01,63,0.022,0.123,0.022,0,0,0,0,0,0,1,0,0,0,3
,70,Jamaica,JAM,1979-04-01,149,0.035,0.144,0.047,0,0,0,0,0,0,0,0,0,0,2
,71,Jamaica,JAM,1981-06-01,89,0.152,0.263,0.181,0,0,0,0,0,0,0,0,1,0,2
,72,Jamaica,JAM,1984-06-01,165,0.181,0.248,0.181,0,0,0,0,0,0,1,0,0,0,3
,73,Jamaica,JAM,1985-09-01,369,0.317,0.27,0.444,0,0,0,0,0,0,0,1,0,0,3
,74,Jamaica,JAM,1987-05-01,285,0.328,0.2,0.352,0,0,0,0,0,0,0,1,0,0,3
,75,Jamaica,JAM,1990-06-01,332,0.44,0.25,0.49,0,0,0,0,0,0,0,1,0,0,3
