VariableCode,RegionCode,YearCode,AggValue
emp,ARG,1950,7.03003501892090000
emp,ARG,1951,7.25093936920166000
emp,ARG,1952,6.72601461410522000
emp,ARG,1953,7.24503946304321000
emp,ARG,1954,7.42002153396606000
emp,ARG,1955,7.78611040115356000
emp,ARG,1956,7.75251531600952000
emp,ARG,1957,8.07880783081055000
emp,ARG,1958,8.28901672363281000
emp,ARG,1959,7.83439397811890000
emp,ARG,1960,8.13398551940918000
emp,ARG,1961,8.40892028808594000
emp,ARG,1962,8.10645961761475000
emp,ARG,1963,7.69199466705322000
emp,ARG,1964,8.06841373443604000
emp,ARG,1965,8.45998287200928000
emp,ARG,1966,8.28966903686523000
emp,ARG,1967,8.30869102478027000
emp,ARG,1968,8.45187187194824000
emp,ARG,1969,8.87043380737305000
emp,ARG,1970,9.22680473327637000
emp,ARG,1971,9.32603931427002000
emp,ARG,1972,9.41106796264648000
emp,ARG,1973,9.49725627899170000
emp,ARG,1974,9.54794406890869000
emp,ARG,1975,9.15575885772705000
emp,ARG,1976,9.65640449523926000
emp,ARG,1977,9.93559551239014000
emp,ARG,1978,9.85679817199707000
emp,ARG,1979,9.91856002807617000
emp,ARG,1980,10.02597713470460000
emp,ARG,1981,10.38387107849120000
emp,ARG,1982,10.78470134735110000
emp,ARG,1983,10.83967781066890000
emp,ARG,1984,11.06833648681640000
emp,ARG,1985,11.24098491668700000
emp,ARG,1986,11.14021873474120000
emp,ARG,1987,11.59447574615480000
emp,ARG,1988,11.76383113861080000
emp,ARG,1989,11.95371627807620000
emp,ARG,1990,12.13101768493650000
emp,ARG,1991,12.30065059661870000
emp,ARG,1992,12.36049461364750000
emp,ARG,1993,12.32858180999760000
emp,ARG,1994,12.28699016571040000
emp,ARG,1995,12.61837673187260000
emp,ARG,1996,12.68769073486330000
emp,ARG,1997,12.59156036376950000
emp,ARG,1998,12.56184101104740000
emp,ARG,1999,12.62456893920900000
emp,ARG,2000,12.77998256683350000
emp,ARG,2001,12.99986267089840000
emp,ARG,2002,11.58111953735350000
emp,ARG,2003,12.30291938781740000
emp,ARG,2004,13.08739662170410000
emp,ARG,2005,13.98750114440920000
emp,ARG,2006,14.53891563415530000
emp,ARG,2007,14.61716175079350000
emp,ARG,2008,14.89111995697020000
emp,ARG,2009,14.66599941253660000
emp,ARG,2010,14.87144470214840000
emp,ARG,2011,15.29329967498780000
hc,ARG,1950,1.85502970218658000
hc,ARG,1951,1.86922454833984000
hc,ARG,1952,1.88352799415588000
hc,ARG,1953,1.89794099330902000
hc,ARG,1954,1.91246426105499000
hc,ARG,1955,1.92709863185883000
hc,ARG,1956,1.94576191902161000
hc,ARG,1957,1.96460592746735000
hc,ARG,1958,1.98363232612610000
hc,ARG,1959,2.00284314155579000
hc,ARG,1960,2.02223992347717000
hc,ARG,1961,2.03324031829834000
hc,ARG,1962,2.04430079460144000
hc,ARG,1963,2.05542111396790000
hc,ARG,1964,2.06660223007202000
hc,ARG,1965,2.07784390449524000
hc,ARG,1966,2.09310650825500000
hc,ARG,1967,2.10848116874695000
hc,ARG,1968,2.12396860122681000
hc,ARG,1969,2.13956999778748000
hc,ARG,1970,2.15528583526611000
hc,ARG,1971,2.17937636375427000
hc,ARG,1972,2.20373630523682000
hc,ARG,1973,2.22836828231812000
hc,ARG,1974,2.25327587127686000
hc,ARG,1975,2.27846169471741000
hc,ARG,1976,2.29951310157776000
