Country,Year,(1+r) / (1+g)
Greece,2004,0.939540957
Greece,2005,0.960647746
Greece,2006,0.924633363
Greece,2007,0.955421394
Greece,2008,0.991281386
Greece,2009,1.078745261
Greece,2010,1.088551078
Greece,2011,1.204277661
Greece,2012,1.268969194
Greece,2013,1.130229073
Greece,2014,1.060948245
Ireland,2004,0.946793351
Ireland,2005,0.927116566
Ireland,2006,0.929413837
Ireland,2007,0.941221913
Ireland,2008,1.020891769
Ireland,2009,1.134731009
Ireland,2010,1.064245762
Ireland,2011,1.032631751
Ireland,2012,1.02653752
Ireland,2013,1.015668935
Ireland,2014,0.962710063
Italy,2004,0.976656367
Italy,2005,0.972391782
Italy,2006,0.968137894
Italy,2007,0.98296537
Italy,2008,1.002474759
Italy,2009,1.087004696
Italy,2010,0.994228244
Italy,2011,0.997932875
Italy,2012,1.031757338
Italy,2013,1.032363957
Italy,2014,1.01618711
Portugal,2004,0.971159731
Portugal,2005,0.973794946
Portugal,2006,0.963435917
Portugal,2007,0.968972463
Portugal,2008,0.996625061
Portugal,2009,1.075722093
Portugal,2010,1.007838464
Portugal,2011,1.062418855
Portugal,2012,1.100985645
Portugal,2013,1.059753662
Portugal,2014,1.015086942
Spain,2004,0.952949725
Spain,2005,0.934154655
Spain,2006,0.933283225
Spain,2007,0.952054889
Spain,2008,0.97213646
Spain,2009,1.072773485
Spain,2010,1.009128361
Spain,2011,1.00873957
Spain,2012,1.036733529
Spain,2013,1.027398532
Spain,2014,1.000402904
