ISO3A,IMF3N
USA,111
GBR,112
AUT,122
BEL,124
DNK,128
FRA,132
DEU,134
SMR,135
ITA,136
LUX,137
NLD,138
NOR,142
SWE,144
CHE,146
CAN,156
JPN,158
FIN,172
GRC,174
ISL,176
IRL,178
MLT,181
PRT,182
ESP,184
TUR,186
AUS,193
NZL,196
ZAF,199
ARG,213
BOL,218
BRA,223
CHL,228
COL,233
CRI,238
DOM,243
ECU,248
SLV,253
GTM,258
HTI,263
HND,268
MEX,273
NIC,278
PAN,283
PRY,288
PER,293
URY,298
VEN,299
ATG,311
BHS,313
BRB,316
DMA,321
GRD,328
GUY,336
BLZ,339
JAM,343
KNA,361
LCA,362
VCT,364
SUR,366
TTO,369
BHR,419
CYP,423
IRN,429
IRQ,433
ISR,436
JOR,439
KWT,443
LBN,446
OMN,449
QAT,453
SAU,456
SYR,463
ARE,466
EGY,469
YEM,474
AFG,512
BGD,513
BTN,514
BRN,516
MMR,518
KHM,522
LKA,524
TWN,528
HKG,532
IND,534
IDN,536
TLS,537
KOR,542
LAO,544
MYS,548
MDV,556
NPL,558
PAK,564
PHL,566
SGP,576
THA,578
VNM,582
DJI,611
DZA,612
AGO,614
BWA,616
BDI,618
CMR,622
CPV,624
CAF,626
TCD,628
COM,632
COG,634
COD,636
BEN,638
GNQ,642
ERI,643
ETH,644
GAB,646
GMB,648
GHA,652
GNB,654
GIN,656
CIV,662
KEN,664
LSO,666
LBR,668
LBY,672
MDG,674
MWI,676
MLI,678
MRT,682
MUS,684
MAR,686
MOZ,688
NER,692
NGA,694
ZWE,698
RWA,714
STP,716
SYC,718
SEN,722
SLE,724
NAM,728
SDN,732
SSD,733
SWZ,734
TZA,738
TGO,742
TUN,744
UGA,746
BFA,748
ZMB,754
SLB,813
FJI,819
KIR,826
VUT,846
PNG,853
WSM,862
TON,866
MHL,867
FSM,868
TUV,869
ARM,911
AZE,912
BLR,913
ALB,914
GEO,915
KAZ,916
KGZ,917
BGR,918
MDA,921
RUS,922
TJK,923
CHN,924
TKM,925
UKR,926
UZB,927
CZE,935
SVK,936
EST,939
LVA,941
SRB,942
MNE,943
HUN,944
LTU,946
MNG,948
HRV,960
SVN,961
MKD,962
BIH,963
POL,964
UVK,967
ROU,968
