VariableCode,RegionCode,YearCode,AggValue
rgdpe,ARG,1950,36905.05468750000000000
rgdpe,ARG,1951,38808.02343750000000000
rgdpe,ARG,1952,35158.32031250000000000
rgdpe,ARG,1953,36496.78515625000000000
rgdpe,ARG,1954,38161.28125000000000000
rgdpe,ARG,1955,41727.83593750000000000
rgdpe,ARG,1956,42806.86718750000000000
rgdpe,ARG,1957,44780.69531250000000000
rgdpe,ARG,1958,48078.57421875000000000
rgdpe,ARG,1959,45789.40625000000000000
rgdpe,ARG,1960,49341.14062500000000000
rgdpe,ARG,1961,51578.48046875000000000
rgdpe,ARG,1962,49202.55859375000000000
rgdpe,ARG,1963,48978.72265625000000000
rgdpe,ARG,1964,52474.89843750000000000
rgdpe,ARG,1965,60081.42578125000000000
rgdpe,ARG,1966,59615.92578125000000000
rgdpe,ARG,1967,62289.03515625000000000
rgdpe,ARG,1968,64157.06250000000000000
rgdpe,ARG,1969,69776.31250000000000000
rgdpe,ARG,1970,71057.52343750000000000
rgdpe,ARG,1971,74925.30468750000000000
rgdpe,ARG,1972,76543.83593750000000000
rgdpe,ARG,1973,80620.13281250000000000
rgdpe,ARG,1974,83788.43750000000000000
rgdpe,ARG,1975,82011.02343750000000000
rgdpe,ARG,1976,81713.37500000000000000
rgdpe,ARG,1977,85165.45312500000000000
rgdpe,ARG,1978,82518.51562500000000000
rgdpe,ARG,1979,90151.07812500000000000
rgdpe,ARG,1980,95231.82812500000000000
rgdpe,ARG,1981,94700.65625000000000000
rgdpe,ARG,1982,95980.24218750000000000
rgdpe,ARG,1983,105158.25000000000000000
rgdpe,ARG,1984,111980.67968750000000000
rgdpe,ARG,1985,107331.79687500000000000
rgdpe,ARG,1986,122900.26562500000000000
rgdpe,ARG,1987,131877.28125000000000000
rgdpe,ARG,1988,139394.46875000000000000
rgdpe,ARG,1989,136604.39062500000000000
rgdpe,ARG,1990,150802.98437500000000000
rgdpe,ARG,1991,179757.70312500000000000
rgdpe,ARG,1992,212429.45312500000000000
rgdpe,ARG,1993,244715.65625000000000000
rgdpe,ARG,1994,287540.81250000000000000
rgdpe,ARG,1995,318293.03125000000000000
rgdpe,ARG,1996,415114.59375000000000000
rgdpe,ARG,1997,429374.06250000000000000
rgdpe,ARG,1998,430045.93750000000000000
rgdpe,ARG,1999,401184.12500000000000000
rgdpe,ARG,2000,391555.34375000000000000
rgdpe,ARG,2001,365819.43750000000000000
rgdpe,ARG,2002,343860.34375000000000000
rgdpe,ARG,2003,362066.34375000000000000
rgdpe,ARG,2004,383476.21875000000000000
rgdpe,ARG,2005,409609.37500000000000000
rgdpe,ARG,2006,446850.68750000000000000
rgdpe,ARG,2007,485341.68750000000000000
rgdpe,ARG,2008,524469.81250000000000000
rgdpe,ARG,2009,527101.81250000000000000
rgdpe,ARG,2010,574300.93750000000000000
rgdpe,ARG,2011,629119.25000000000000000
rgdpe,CHE,1950,56065.83593750000000000
rgdpe,CHE,1951,59612.13671875000000000
rgdpe,CHE,1952,60604.16796875000000000
rgdpe,CHE,1953,63762.00390625000000000
rgdpe,CHE,1954,67761.27343750000000000
rgdpe,CHE,1955,72359.47656250000000000
rgdpe,CHE,1956,76748.71875000000000000
rgdpe,CHE,1957,79289.35937500000000000
rgdpe,CHE,1958,77922.58593750000000000
rgdpe,CHE,1959,83639.00000000000000000
rgdpe,CHE,1960,90747.78906250000000000
rgdpe,CHE,1961,98355.89843750000000000
rgdpe,CHE,1962,103527.65625000000000000
rgdpe,CHE,1963,108693.46093750000000000
rgdpe,CHE,1964,115402.74218750000000000
rgdpe,CHE,1965,119087.81250000000000000
rgdpe,CHE,1966,122492.10937500000000000
rgdpe,CHE,1967,127177.01562500000000000
rgdpe,CHE,1968,132486.45312500000000000
rgdpe,CHE,1969,139363.64062500000000000
rgdpe,CHE,1970,147216.32812500000000000
rgdpe,CHE,1971,154661.62500000000000000
rgdpe,CHE,1972,160986.85937500000000000
rgdpe,CHE,1973,165237.67187500000000000
rgdpe,CHE,1974,165382.68750000000000000
rgdpe,CHE,1975,153214.90625000000000000
rgdpe,CHE,1976,153166.57812500000000000
rgdpe,CHE,1977,155219.56250000000000000
rgdpe,CHE,1978,160576.29687500000000000
rgdpe,CHE,1979,163958.68750000000000000
rgdpe,CHE,1980,168937.65625000000000000
rgdpe,CHE,1981,169347.12500000000000000
rgdpe,CHE,1982,169460.56250000000000000
rgdpe,CHE,1983,171551.42187500000000000
rgdpe,CHE,1984,178140.20312500000000000
rgdpe,CHE,1985,181927.31250000000000000
rgdpe,CHE,1986,191735.42187500000000000
rgdpe,CHE,1987,196602.81250000000000000
rgdpe,CHE,1988,201800.21875000000000000
