Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,Final consumption expenditure,4564542000,4378772008,4267301969,4718449873,5047527927,5190783920,5233225023,5663142064,5822363011,5681429725,5496820267,5594092373,5713028610,5997746639,6103186392,6121124388,6304676519,5656765596,5189110268,4822817710,4672128221,4338719605,4588914249,3578467371,2886939176,4486074462,4398894789,4314326482,4253662105,4175809155,4067512130,3858309927,5894713493,7284105490,7169433210,8328424128,8806973245,9857975672,10082379385,12130747754,12923261172,13426135036,15475030381,15870330573
Afghanistan,Household consumption expenditure (including Non-profit institutions serving households),4313211511,4124316754,4003630640,4439144847,4759225409,4811702880,4837928497,5236722641,5367908447,5237975557,5067775424,5157454952,5267108319,5529602696,5626811938,5643352502,5812574131,5215234165,4784091685,4446371140,4307449410,4000102059,4230674498,3299166250,2661701122,4135582551,4055768148,3978122942,3919934916,3851661618,3751465686,3549475161,5451837691,6716488021,6526145373,7664068791,7955015133,8833152744,9041919472,10896869807,11724169732,12066704648,13909806926,14175844208
Afghanistan,General government final consumption expenditure,232512318.2,238631063.5,250868553.9,263106044.3,269224789.5,373243458.2,391599693.9,422193420,452787146,441827095.2,427470647.6,435035396.9,444284123.7,466426316.8,474626729.8,476018576.2,490297121.9,439911818.7,403531094.5,375067038.6,363341441.9,337369381.1,356935567.5,278274642.2,224395097.3,349263754.6,341829910.7,334877257.8,332795156.2,322653309.5,314641939,309011432.6,438313421.3,565376109.7,655198770,664355337,876891152.9,1064610556,1079869846,1278296951,1227157783,1407556896,1620416859,1765986535
Afghanistan,Gross capital formation,689789671.2,735775649.3,643803693.1,643803693.1,827747513.4,956508344,1425565320,1342790560,1554326059,1453271788,1387378567,1445336502,1459766804,1531962476,1565069341,1565728343,1613258292,1448336478,1327910458,1234355572,1195878243,1056051862,1063845223,791311239.7,609756357.6,906140052.9,850714662.2,799704954.7,756463874.9,713142500.3,667651394,701342351.3,961282427.1,1080954982,1329355765,1444097005,1442449684,1520829286,1502196692,1577920656,1371679395,1391974664,1281930401,1246302358
Afghanistan,Gross fixed capital formation (including Acquisitions less disposals of valuables),689789671.2,735775649.3,643803693.1,643803693.1,827747513.4,956508344,1425565320,1342790560,1554326059,1453271788,1387378567,1445336502,1459766804,1531962476,1565069341,1565728343,1613258292,1448336478,1327910458,1234355572,1195878243,1056051862,1063845223,791311239.7,609756357.6,906140052.9,850714662.2,799704954.7,756463874.9,713142500.3,667651394,701342351.3,961282427.1,1080954982,1329355765,1444097005,1442449684,1520829286,1502196692,1577920656,1371679395,1391974664,1281930401,1246302358
Afghanistan,Exports of goods and services,169568189.1,219025577.6,261417624.9,328538366.4,452181837.7,476910531.9,628815368,650011391.7,688870768.3,737083515.4,683660063.5,694477433.5,720305693.1,748916611.6,763087575.8,767136639.6,788553961.9,707909500.5,649580451.2,603494904,584730231.3,625663491,742305470,636932213,557290054,928749880.4,968070352.3,1002032791,1036483454,1062230282,1075636907,986700886.4,1431429827,2124162791,1671333602,1723804300,1646178540,1553060124,1872343680,1941775761,1743421555,1719547735,1745890879,1729661733
Afghanistan,Imports of goods and services,214319745.3,312696021.8,302155741.5,323236337.1,474314190.3,534042643.9,657012989.5,790523650.5,846738665.7,863547675.2,824809039.1,834425637.7,859250359.7,898896312.7,914332173.2,918344980.7,945099209.4,848035089,778104434.3,723051542.8,700488649.9,885387380.9,1165369785,1073794975,989734627.2,1716322279,1845987980,1959891195,2070264623,2159441094,2219814260,2126276101,2772077982,4419929300,4369583459,4874471401,5029315296,5220444248,5414162920,5844745635,5236323125,5248865352,5589253265,5615445294
Afghanistan,Gross Domestic Product (GDP),6929847255,6910741007,5777295216,5944596821,6268756882,6657748956,7021805641,6667723112,7161443821,6976921940,6717593891,6862219149,7001857329,7345965702,7480616805,7500565116,7724983620,6932038239,6358524284,5909687276,5725165395,5099369505,5181698774,3888090899,3022555147,4531855989,4293013317,4072311063,3887479665,3698806736,3495246010,3296867078,5439744323,5887348821,6025242701,6621833827,7228470204,8391731580,8587506509,10066656065,10392535776,11294701243,12529205669,13336226877
Afghanistan,"Agriculture, hunting, forestry, fishing (ISIC A-B)",4724759419,4544195365,4353599974,4674602737,4837249997,4999897258,5216760271,4656530819,4939657532,5078208901,5036041093,5192664381,5216760271,5331215751,5307119860,5276999997,5361335614,4343284244,4054133560,3891486299,1990096513,2464808480,2794180382,2400498226,2154466474,2895128259,2665847560,2458076463,2280887907,2109496555,1937654304,1707311036,2283719942,2361380787,2019835025,2266792856,2440582833,2956989576,2610689602,3219516147,2639423853,2763242355,2853057525,3083723843
Afghanistan,"Mining, Manufacturing, Utilities (ISIC C-E)",639620831,669939191.6,700810965.3,732789565,806996103.2,884294580.6,905938154.3,939949484.3,1026523779,949225301.5,890478458.8,871926824.2,912122032.4,1004880205,1026523779,1119281952,1171844916,1153293282,1014156023,930673667,1192742549,1046089820,634646119.3,411351523.2,250778391.1,249081350.2,297021947.6,354673258.6,426203318,510471536.5,607223869.6,657470861.7,942270419.4,978006744.5,1024287324,1060539991,1096928538,1160194063,1186391643,1252293231,1315151117,1402358621,1496019650,1525274415
