VariableCode,RegionCode,YearCode,AggValue
rgdpe,ESP,1950,87202.46093750000000000
rgdpe,ESP,1951,101808.74218750000000000
rgdpe,ESP,1952,106245.27343750000000000
rgdpe,ESP,1953,102363.97656250000000000
rgdpe,ESP,1954,115889.14062500000000000
rgdpe,ESP,1955,121968.98437500000000000
rgdpe,ESP,1956,131073.79687500000000000
rgdpe,ESP,1957,137206.56250000000000000
rgdpe,ESP,1958,143208.20312500000000000
rgdpe,ESP,1959,139988.42187500000000000
rgdpe,ESP,1960,155266.70312500000000000
rgdpe,ESP,1961,172878.28125000000000000
rgdpe,ESP,1962,189809.39062500000000000
rgdpe,ESP,1963,208049.03125000000000000
rgdpe,ESP,1964,219026.92187500000000000
rgdpe,ESP,1965,231617.42187500000000000
rgdpe,ESP,1966,250947.68750000000000000
rgdpe,ESP,1967,265374.90625000000000000
rgdpe,ESP,1968,284029.96875000000000000
rgdpe,ESP,1969,311117.56250000000000000
rgdpe,ESP,1970,324388.12500000000000000
rgdpe,ESP,1971,341349.09375000000000000
rgdpe,ESP,1972,370883.90625000000000000
rgdpe,ESP,1973,398904.09375000000000000
rgdpe,ESP,1974,408826.78125000000000000
rgdpe,ESP,1975,414432.37500000000000000
rgdpe,ESP,1976,434212.87500000000000000
rgdpe,ESP,1977,452512.81250000000000000
rgdpe,ESP,1978,471125.87500000000000000
rgdpe,ESP,1979,479746.65625000000000000
rgdpe,ESP,1980,486527.65625000000000000
rgdpe,ESP,1981,456926.53125000000000000
rgdpe,ESP,1982,444837.59375000000000000
rgdpe,ESP,1983,433515.46875000000000000
rgdpe,ESP,1984,428729.40625000000000000
rgdpe,ESP,1985,426524.15625000000000000
rgdpe,ESP,1986,458064.53125000000000000
rgdpe,ESP,1987,494317.09375000000000000
rgdpe,ESP,1988,533298.06250000000000000
rgdpe,ESP,1989,572843.18750000000000000
rgdpe,ESP,1990,611508.93750000000000000
rgdpe,ESP,1991,643546.87500000000000000
rgdpe,ESP,1992,663885.56250000000000000
rgdpe,ESP,1993,664671.68750000000000000
rgdpe,ESP,1994,694964.87500000000000000
rgdpe,ESP,1995,735554.37500000000000000
rgdpe,ESP,1996,760325.68750000000000000
rgdpe,ESP,1997,814348.62500000000000000
rgdpe,ESP,1998,881108.68750000000000000
rgdpe,ESP,1999,929423.00000000000000000
rgdpe,ESP,2000,978498.56250000000000000
rgdpe,ESP,2001,1020685.93750000000000000
rgdpe,ESP,2002,1070456.87500000000000000
rgdpe,ESP,2003,1082872.75000000000000000
rgdpe,ESP,2004,1135853.25000000000000000
rgdpe,ESP,2005,1179911.25000000000000000
rgdpe,ESP,2006,1284171.25000000000000000
rgdpe,ESP,2007,1387653.50000000000000000
rgdpe,ESP,2008,1406988.12500000000000000
rgdpe,ESP,2009,1363447.00000000000000000
rgdpe,ESP,2010,1354640.87500000000000000
rgdpe,ESP,2011,1344672.00000000000000000
rgdpe,GRC,1951,21379.10742187500000000
rgdpe,GRC,1952,20949.53710937500000000
rgdpe,GRC,1953,23387.81054687500000000
rgdpe,GRC,1954,24005.55468750000000000
rgdpe,GRC,1955,25791.98242187500000000
rgdpe,GRC,1956,28104.54101562500000000
rgdpe,GRC,1957,30143.11523437500000000
rgdpe,GRC,1958,31768.32617187500000000
rgdpe,GRC,1959,32949.57421875000000000
rgdpe,GRC,1960,33467.58203125000000000
rgdpe,GRC,1961,38172.50781250000000000
rgdpe,GRC,1962,37829.60156250000000000
rgdpe,GRC,1963,42701.46093750000000000
rgdpe,GRC,1964,46067.83203125000000000
rgdpe,GRC,1965,51086.31640625000000000
rgdpe,GRC,1966,55287.68359375000000000
rgdpe,GRC,1967,58435.69140625000000000
rgdpe,GRC,1968,62332.96484375000000000
rgdpe,GRC,1969,69676.50781250000000000
rgdpe,GRC,1970,76004.87500000000000000
rgdpe,GRC,1971,81899.69531250000000000
rgdpe,GRC,1972,90119.01562500000000000
rgdpe,GRC,1973,97498.17187500000000000
rgdpe,GRC,1974,90121.76562500000000000
rgdpe,GRC,1975,94505.01562500000000000
rgdpe,GRC,1976,101007.83593750000000000
rgdpe,GRC,1977,104101.05468750000000000
rgdpe,GRC,1978,111758.41406250000000000
rgdpe,GRC,1979,114845.71093750000000000
rgdpe,GRC,1980,115103.24218750000000000
rgdpe,GRC,1981,115796.77343750000000000
rgdpe,GRC,1982,113398.57031250000000000
rgdpe,GRC,1983,112998.60937500000000000
rgdpe,GRC,1984,115348.41406250000000000
rgdpe,GRC,1985,119303.29687500000000000
rgdpe,GRC,1986,124474.25000000000000000
rgdpe,GRC,1987,123524.55468750000000000
rgdpe,GRC,1988,133143.53125000000000000
rgdpe,GRC,1989,140230.53125000000000000
