VariableCode,RegionCode,YearCode,AggValue
emp,BGD,1959,15.91682338714600000
hc,BGD,1959,1.14383924007416000
rgdpna,BGD,1959,47129.82812500000000000
rkna,BGD,1959,104923.67187500000000000
emp,BGD,1960,16.02252006530760000
hc,BGD,1960,1.14623558521271000
rgdpna,BGD,1960,49836.10156250000000000
rkna,BGD,1960,102473.79687500000000000
emp,BGD,1961,16.32064819335940000
hc,BGD,1961,1.15336453914642000
rgdpna,BGD,1961,48242.23828125000000000
rkna,BGD,1961,100979.90625000000000000
emp,BGD,1962,16.62246322631840000
hc,BGD,1962,1.16053783893585000
rgdpna,BGD,1962,51804.86718750000000000
rkna,BGD,1962,100085.24218750000000000
emp,BGD,1963,16.92923355102540000
hc,BGD,1963,1.16775572299957000
rgdpna,BGD,1963,54536.02343750000000000
rkna,BGD,1963,98626.80468750000000000
emp,BGD,1964,17.24198722839360000
hc,BGD,1964,1.17501854896545000
rgdpna,BGD,1964,54285.48828125000000000
rkna,BGD,1964,97764.25781250000000000
emp,BGD,1965,17.56147384643550000
hc,BGD,1965,1.18232655525208000
rgdpna,BGD,1965,53222.16406250000000000
rkna,BGD,1965,97236.35937500000000000
emp,BGD,1966,17.88822555541990000
hc,BGD,1966,1.18644690513611000
rgdpna,BGD,1966,54396.03906250000000000
rkna,BGD,1966,96834.71875000000000000
emp,BGD,1967,18.22251510620120000
hc,BGD,1967,1.19058156013489000
rgdpna,BGD,1967,51293.70703125000000000
rkna,BGD,1967,96803.98437500000000000
emp,BGD,1968,18.56441116333010000
hc,BGD,1968,1.19473063945770000
rgdpna,BGD,1968,53900.39062500000000000
rkna,BGD,1968,97879.49218750000000000
emp,BGD,1969,18.91374397277830000
hc,BGD,1969,1.19889426231384000
rgdpna,BGD,1969,55739.05078125000000000
rkna,BGD,1969,98528.46875000000000000
emp,BGD,1970,19.27013778686520000
hc,BGD,1970,1.20307242870331000
rgdpna,BGD,1970,60359.82421875000000000
rkna,BGD,1970,98823.84375000000000000
emp,BGD,1971,19.52577972412110000
hc,BGD,1971,1.20927309989929000
rgdpna,BGD,1971,57052.41796875000000000
rkna,BGD,1971,98154.63281250000000000
emp,BGD,1972,19.76926231384280000
hc,BGD,1972,1.21550571918488000
rgdpna,BGD,1972,49080.06640625000000000
rkna,BGD,1972,95908.52343750000000000
emp,BGD,1973,19.92783546447750000
hc,BGD,1973,1.22177052497864000
rgdpna,BGD,1973,50712.31250000000000000
rkna,BGD,1973,95045.83593750000000000
emp,BGD,1974,20.40245246887210000
hc,BGD,1974,1.22806751728058000
rgdpna,BGD,1974,55576.61718750000000000
rkna,BGD,1974,97940.46093750000000000
emp,BGD,1975,19.62119483947750000
hc,BGD,1975,1.23439705371857000
rgdpna,BGD,1975,53304.52734375000000000
rkna,BGD,1975,99300.74218750000000000
emp,BGD,1976,20.54591941833500000
hc,BGD,1976,1.25693571567535000
rgdpna,BGD,1976,56322.28906250000000000
rkna,BGD,1976,101483.27343750000000000
emp,BGD,1977,20.18102645874020000
hc,BGD,1977,1.27988588809967000
rgdpna,BGD,1977,57827.81250000000000000
rkna,BGD,1977,105027.91406250000000000
emp,BGD,1978,20.92951202392580000
hc,BGD,1978,1.30325520038605000
rgdpna,BGD,1978,61918.46093750000000000
rkna,BGD,1978,110247.60156250000000000
emp,BGD,1979,22.80985641479490000
hc,BGD,1979,1.32705116271973000
rgdpna,BGD,1979,64891.55859375000000000
rkna,BGD,1979,116185.57031250000000000
emp,BGD,1980,23.29839515686040000
hc,BGD,1980,1.35128152370453000
rgdpna,BGD,1980,65423.11328125000000000
rkna,BGD,1980,124303.47656250000000000
emp,BGD,1981,23.69381523132320000
hc,BGD,1981,1.37088775634766000
rgdpna,BGD,1981,67643.82812500000000000
rkna,BGD,1981,132412.87500000000000000
emp,BGD,1982,24.55781936645510000
hc,BGD,1982,1.39077842235565000
rgdpna,BGD,1982,68475.95312500000000000
rkna,BGD,1982,138263.90625000000000000
emp,BGD,1983,25.44316101074220000
hc,BGD,1983,1.41095769405365000
rgdpna,BGD,1983,71826.86718750000000000
rkna,BGD,1983,143951.23437500000000000
emp,BGD,1984,26.37368583679200000
hc,BGD,1984,1.43142974376678000
rgdpna,BGD,1984,75723.91406250000000000
rkna,BGD,1984,150144.60937500000000000
emp,BGD,1985,27.42312812805180000
hc,BGD,1985,1.45219886302948000
rgdpna,BGD,1985,78004.62500000000000000
rkna,BGD,1985,156726.01562500000000000
emp,BGD,1986,28.53563117980960000
