VariableCode,RegionCode,YearCode,AggValue
emp,ALB,1970,0.69094073772430400
hc,ALB,1970,2.07672858238220000
rgdpna,ALB,1970,6782.10253906250000000
rkna,ALB,1970,21072.85351562500000000
emp,ALB,1971,0.71275073289871200
hc,ALB,1971,2.10536575317383000
rgdpna,ALB,1971,7053.44189453125000000
rkna,ALB,1971,23066.12304687500000000
emp,ALB,1972,0.73512589931488000
hc,ALB,1972,2.13439798355103000
rgdpna,ALB,1972,7336.56054687500000000
rkna,ALB,1972,25084.46484375000000000
emp,ALB,1973,0.75873315334320100
hc,ALB,1973,2.16383075714111000
rgdpna,ALB,1973,7631.33691406250000000
rkna,ALB,1973,27135.05664062500000000
emp,ALB,1974,0.78126698732376100
hc,ALB,1974,2.19366908073425000
rgdpna,ALB,1974,7934.35009765625000000
rkna,ALB,1974,29223.81445312500000000
emp,ALB,1975,0.80437123775482200
hc,ALB,1975,2.22391891479492000
rgdpna,ALB,1975,8255.94628906250000000
rkna,ALB,1975,31351.16210937500000000
emp,ALB,1976,0.82805550098419200
hc,ALB,1976,2.25723814964294000
rgdpna,ALB,1976,8588.65332031250000000
rkna,ALB,1976,33531.17578125000000000
emp,ALB,1977,0.85130703449249300
hc,ALB,1977,2.29105639457703000
rgdpna,ALB,1977,8917.52148437500000000
rkna,ALB,1977,35765.88671875000000000
emp,ALB,1978,0.87582021951675400
hc,ALB,1978,2.32538127899170000
rgdpna,ALB,1978,9301.12500000000000000
rkna,ALB,1978,38036.85937500000000000
emp,ALB,1979,0.90024054050445600
hc,ALB,1979,2.36022043228149000
rgdpna,ALB,1979,9669.45898437500000000
rkna,ALB,1979,40406.40234375000000000
emp,ALB,1980,0.92490708827972400
hc,ALB,1980,2.39558148384094000
rgdpna,ALB,1980,9981.90820312500000000
rkna,ALB,1980,42834.52343750000000000
emp,ALB,1981,0.95149427652359000
hc,ALB,1981,2.44561195373535000
rgdpna,ALB,1981,10555.42675781250000000
rkna,ALB,1981,45231.08593750000000000
emp,ALB,1982,0.97716176509857200
hc,ALB,1982,2.49668741226196000
rgdpna,ALB,1982,10866.66992187500000000
rkna,ALB,1982,47943.00390625000000000
emp,ALB,1983,1.00067245960236000
hc,ALB,1983,2.54882955551147000
rgdpna,ALB,1983,10986.74023437500000000
rkna,ALB,1983,50831.42578125000000000
emp,ALB,1984,1.02463579177856000
hc,ALB,1984,2.58823657035828000
rgdpna,ALB,1984,10849.22949218750000000
