"country","ifs","year","coarse","fine"
"UNITED STATES",111,1940,1,2
"UNITED STATES",111,1941,1,2
"UNITED STATES",111,1942,1,2
"UNITED STATES",111,1943,1,2
"UNITED STATES",111,1944,1,2
"UNITED STATES",111,1945,1,2
"UNITED STATES",111,1946,1,2
"UNITED STATES",111,1947,1,2
"UNITED STATES",111,1948,1,2
"UNITED STATES",111,1949,1,2
"UNITED STATES",111,1950,1,2
"UNITED STATES",111,1951,1,2
"UNITED STATES",111,1952,1,2
"UNITED STATES",111,1953,1,2
"UNITED STATES",111,1954,1,2
"UNITED STATES",111,1955,1,2
"UNITED STATES",111,1956,1,2
"UNITED STATES",111,1957,1,2
"UNITED STATES",111,1958,1,2
"UNITED STATES",111,1959,1,2
"UNITED STATES",111,1960,1,2
"UNITED STATES",111,1961,1,2
"UNITED STATES",111,1962,1,2
"UNITED STATES",111,1963,1,2
"UNITED STATES",111,1964,1,2
"UNITED STATES",111,1965,1,2
"UNITED STATES",111,1966,1,2
"UNITED STATES",111,1967,1,2
"UNITED STATES",111,1968,1,2
"UNITED STATES",111,1969,1,2
"UNITED STATES",111,1970,1,2
"UNITED STATES",111,1971,1,2
"UNITED STATES",111,1972,3,12
"UNITED STATES",111,1973,2,8
"UNITED STATES",111,1974,2,8
"UNITED STATES",111,1975,2,8
"UNITED STATES",111,1976,2,8
"UNITED STATES",111,1977,2,8
"UNITED STATES",111,1978,4,13
"UNITED STATES",111,1979,4,13
"UNITED STATES",111,1980,4,13
"UNITED STATES",111,1981,4,13
"UNITED STATES",111,1982,4,13
"UNITED STATES",111,1983,4,13
"UNITED STATES",111,1984,4,13
"UNITED STATES",111,1985,4,13
"UNITED STATES",111,1986,4,13
"UNITED STATES",111,1987,4,13
"UNITED STATES",111,1988,4,13
"UNITED STATES",111,1989,4,13
"UNITED STATES",111,1990,4,13
"UNITED STATES",111,1991,4,13
"UNITED STATES",111,1992,4,13
"UNITED STATES",111,1993,4,13
"UNITED STATES",111,1994,4,13
"UNITED STATES",111,1995,4,13
"UNITED STATES",111,1996,4,13
"UNITED STATES",111,1997,4,13
"UNITED STATES",111,1998,4,13
"UNITED STATES",111,1999,4,13
"UNITED STATES",111,2000,4,13
"UNITED STATES",111,2001,4,13
"UNITED STATES",111,2002,4,13
"UNITED STATES",111,2003,4,13
"UNITED STATES",111,2004,4,13
"UNITED STATES",111,2005,4,13
"UNITED STATES",111,2006,4,13
"UNITED STATES",111,2007,4,13
"UNITED STATES",111,2008,4,13
"UNITED STATES",111,2009,4,13
"UNITED STATES",111,2010,4,13
"UNITED KINGDOM",112,1940,3,10
"UNITED KINGDOM",112,1941,3,10
"UNITED KINGDOM",112,1942,3,10
"UNITED KINGDOM",112,1943,3,10
"UNITED KINGDOM",112,1944,3,10
"UNITED KINGDOM",112,1945,3,10
"UNITED KINGDOM",112,1946,3,10
"UNITED KINGDOM",112,1947,3,10
"UNITED KINGDOM",112,1948,3,10
"UNITED KINGDOM",112,1949,2,8
"UNITED KINGDOM",112,1950,2,8
"UNITED KINGDOM",112,1951,1,2
"UNITED KINGDOM",112,1952,1,2
"UNITED KINGDOM",112,1953,1,2
"UNITED KINGDOM",112,1954,1,2
"UNITED KINGDOM",112,1955,1,2
"UNITED KINGDOM",112,1956,1,2
"UNITED KINGDOM",112,1957,1,2
"UNITED KINGDOM",112,1958,1,2
"UNITED KINGDOM",112,1959,1,2
"UNITED KINGDOM",112,1960,1,2
"UNITED KINGDOM",112,1961,1,2
"UNITED KINGDOM",112,1962,1,2
"UNITED KINGDOM",112,1963,1,2
"UNITED KINGDOM",112,1964,1,2
"UNITED KINGDOM",112,1965,1,2
"UNITED KINGDOM",112,1966,1,2
"UNITED KINGDOM",112,1967,1,2
"UNITED KINGDOM",112,1968,1,2
"UNITED KINGDOM",112,1969,1,2
"UNITED KINGDOM",112,1970,1,2
"UNITED KINGDOM",112,1971,1,2
"UNITED KINGDOM",112,1972,1,2
"UNITED KINGDOM",112,1973,3,12
"UNITED KINGDOM",112,1974,3,12
"UNITED KINGDOM",112,1975,3,12
"UNITED KINGDOM",112,1976,3,12
"UNITED KINGDOM",112,1977,3,12
"UNITED KINGDOM",112,1978,3,12
"UNITED KINGDOM",112,1979,3,12
"UNITED KINGDOM",112,1980,3,12
"UNITED KINGDOM",112,1981,3,12
"UNITED KINGDOM",112,1982,3,12
"UNITED KINGDOM",112,1983,3,12
"UNITED KINGDOM",112,1984,3,12
"UNITED KINGDOM",112,1985,3,12
"UNITED KINGDOM",112,1986,3,12
"UNITED KINGDOM",112,1987,3,12
"UNITED KINGDOM",112,1988,3,12
"UNITED KINGDOM",112,1989,3,12
"UNITED KINGDOM",112,1990,3,12
"UNITED KINGDOM",112,1991,1,3
"UNITED KINGDOM",112,1992,1,3
"UNITED KINGDOM",112,1993,3,12
"UNITED KINGDOM",112,1994,3,12
"UNITED KINGDOM",112,1995,3,12
"UNITED KINGDOM",112,1996,3,12
"UNITED KINGDOM",112,1997,3,12
"UNITED KINGDOM",112,1998,3,12
"UNITED KINGDOM",112,1999,3,12
"UNITED KINGDOM",112,2000,3,12
"UNITED KINGDOM",112,2001,3,11
"UNITED KINGDOM",112,2002,3,11
