ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24.827,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,2014
ALB,Albania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.18,35.717,225.996,85.005,22.565,7.793,12.734,33.166,20.646,0.39,0.039,3.121,5.218,2.344,2.869,2.363,2.371,2.937,3.36,2.251,3.605,3.43,2013
DZA,Algeria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.668,14.61,6.593,7.835,6.31,10.432,14.007,5.857,5.938,9.172,9.272,25.9,31.7,20.5,29,29.8,18.7,5.7,4.95,2.6,0.3,4.2,1.43,4.259,3.972,1.382,2.315,3.674,4.855,5.743,3.913,4.522,2014
AGO,Angola,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,"1,379.48",949.771,"2,672.23","4,146.01",221.492,107.429,248.248,325.029,152.586,108.893,98.342,43.559,22.961,13.305,12.249,12.465,13.721,14.48,13.484,2014
ATG,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.999,11.465,4.17,2.346,3.844,0.996,0.5,3.602,6.8,4.362,6.591,4.518,3,3.1,6.485,2.737,2.965,0.362,3.262,1.135,-0.162,1.935,2.408,1.994,2.03,2.099,1.788,1.416,5.334,-0.55,3.37,3.457,2014
ARG,Argentina,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.065,25.869,13.443,4.416,9.642,10.898,8.83,8.585,6.27,10.461,9.775,2013
ARM,Armenia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,731.80","5,273.45",176.743,18.653,14.046,8.673,0.648,-0.791,3.146,1.071,4.704,6.958,0.648,2.955,4.553,9.018,3.544,7.274,7.653,2014
AUS,Australia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.136,9.488,11.352,10.039,3.96,6.735,9.05,8.533,7.216,7.534,7.333,3.177,1.012,1.754,1.97,4.628,2.615,0.225,0.86,1.483,4.457,4.407,2.982,2.733,2.343,2.692,3.555,2.328,4.35,1.771,2.918,3.304,2013
AUT,Austria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.325,6.807,5.44,3.335,5.665,3.19,1.737,1.408,1.868,2.249,2.764,3.118,3.425,3.238,2.71,1.601,1.793,1.157,0.824,0.515,1.959,2.295,1.7,1.296,1.95,2.108,1.69,2.203,3.223,0.401,1.69,3.552,2014
AZE,Azerbaijan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,129.70","1,664.00",489.812,19.795,3.674,-0.773,-8.525,1.805,1.547,2.771,2.234,6.709,9.68,8.374,16.595,20.82,1.56,5.666,7.869,2013
